topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,1,2,1000000,10,0,1,10,512,100,2,29,4092.1666666666665
4,10,4,10,1,0,1,10,1024,100,5,0,890.91666666666663
2,10,2,10,1,1,1,10,512,100,2,0,899.5
2,10,2,1000000,10,1,1000,10,1024,100,5,29,8664.6666666666661
4,1,2,10,10,0,1,1000,512,10000,5,29,4139.833333333333
4,10,2,1000000,10,0,1000,1000,1024,10000,5,29,5533.75
4,10,4,1000000,10,1,1,1000,512,10000,2,29,3025.75
4,1,2,10,1,0,1,10,1024,100,2,29,882.33333333333337
4,10,2,10,1,1,1000,10,1024,100,5,0,7169.833333333333
2,1,4,1000000,10,0,1,1000,512,10000,2,0,6207.5
4,1,2,10,10,0,1000,10,1024,100,5,29,5602.583333333333
2,10,2,10,1,1,1,1000,512,10000,2,0,897.83333333333337
4,10,4,1000000,10,1,1000,10,1024,100,5,0,3827.5
2,10,4,10,10,0,1,1000,512,10000,2,29,6105.75
4,10,2,10,1,0,1000,1000,1024,10000,2,0,7332.416666666667
4,10,2,10,10,0,1000,10,512,100,5,29,5448.916666666667
4,1,4,10,1,1,1,10,512,100,2,0,882.0
2,10,2,1000000,1,0,1,1000,1024,10000,5,0,891.0
4,1,4,10,10,0,1,1000,1024,10000,2,29,3016.0
2,10,4,1000000,1,1,1,1000,512,10000,2,0,906.33333333333337
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,5190.416666666667
2,10,2,10,10,1,1,10,1024,100,5,0,6462.0
2,10,2,10,10,0,1000,10,512,100,2,29,8833.75
2,1,2,10,1,1,1000,1000,1024,10000,2,0,10056.666666666666
2,10,4,1000000,1,1,1,1000,512,10000,5,29,912.41666666666663
2,10,4,1000000,1,0,1000,1000,1024,10000,2,29,9357.25
4,10,2,10,10,1,1,10,512,100,5,29,4052.5833333333335
4,10,2,10,1,1,1000,10,512,100,5,29,7427.25
2,10,4,1000000,1,1,1000,10,1024,100,2,29,8786.0833333333339
4,1,4,1000000,1,0,1000,1000,1024,10000,2,29,6396.166666666667
4,1,4,1000000,10,0,1000,1000,1024,10000,2,29,4425.0
4,1,2,10,10,0,1,10,1024,100,5,0,4063.1666666666665
2,1,4,1000000,10,1,1000,1000,512,10000,5,0,7939.75
4,10,4,1000000,1,1,1000,1000,512,10000,2,0,6571.916666666667
4,10,2,10,10,0,1,10,512,100,5,29,4127.5
2,10,4,1000000,1,1,1000,1000,512,10000,5,0,9261.1666666666661
2,10,4,10,10,0,1,1000,1024,10000,5,0,6145.75
