SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.2
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.409622599868
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.246303244317
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0887221363937
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.16442286471
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.781946590157
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.449128227764
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.0448024718605
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.51026263518
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.260207459722
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.247627455308
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.528139483558
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.485102626352
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.243875524167
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.543588611785
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.630986537188
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.166188479364
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.639373206798
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0734937099978
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.21761200618
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.657912160671
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.228867799603
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.581990730523
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.257779739572
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.634517766497
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.146104612668
